,Alaska,Coalbed methane,Lower 48 offshore,Tight gas,Shale Gas,L48 onshore NA conv,L48 onshore AD conv
1990,0.38,0.3,5.33,1.81,0.17,6.92,2.89
1991,0.41,0.39,5.08,1.9,0.19,7.21,2.52
1992,0.41,0.36,4.95,2.09,0.19,7.41,2.44
1993,0.4,0.63,5.09,2.39,0.2,7.41,1.98
1994,0.52,0.67,5.39,2.51,0.21,7.65,1.87
1995,0.43,0.88,5.33,2.62,0.22,7.19,1.93
1996,0.44,1.09,5.53,2.74,0.16,7.11,1.78
1997,0.43,1.18,5.51,2.86,0.26,6.77,1.91
1998,0.43,1.31,5.45,3.03,0.26,6.68,1.86
1999,0.42,1.39,5.37,3.09,0.26,6.64,1.66
2000,0.42,1.51,5.17,3.32,0.3,6.52,1.94
2001,0.44,1.6,5.33,3.54,0.34,6.62,1.75
2002,0.43,1.66,4.75,3.67,0.42,5.66,2.34
2003,0.46,1.71,4.76,3.86,0.5,5.49,2.32
2004,0.44,1.72,4.22,4.2,0.58,5.19,2.24
2005,0.46,1.75,3.37,4.61,0.73,5,2.14
2006,0.42,1.84,3.1,4.97,1.02,5.06,2.1
2007,0.41,1.8,2.98,5.34,1.52,5.01,2.2
2008,0.37,1.65,2.68,5.87,1.98,4.95,2.65
2009,0.37,1.92,2.7,5.73,3.42,4.8,1.68
2010,0.35,1.81,2.45,5.47,4.86,4.18,2.19
2011,0.33,1.73,1.86,5.01,7.94,4.004364,1.67187
2012,0.33,1.58,1.66,4.86,9.72,3.85707,2.05681
2013,0.32,1.64,1.88,5.23,9.35,3.384124,2.376488
2014,0.31,1.55,2.11,5.16,9.63,3.060841,2.461391
2015,0.3,1.54,2.12,5.31,9.96,2.908395,2.502628
2016,0.29,1.55,2.3,5.56,10.45,2.86922,2.662611
2017,0.29,1.61,2.33,5.79,10.91,2.796889,2.648733
2018,0.29,1.67,2.28,6.09,11.46,2.749496,2.660039
2019,0.28,1.69,2.22,6.33,12.39,2.629332,2.646958
2020,0.28,1.66,2.16,6.48,13.33,2.532401,2.653211
2021,0.27,1.66,2.09,6.65,13.85,2.516776,2.665772
2022,0.27,1.64,2.02,6.76,14.4,2.417266,2.685326
2023,0.26,1.63,2.07,6.84,15.09,2.364083,2.656966
2024,0.26,1.63,2.07,6.95,15.58,2.312007,2.636687
2025,0.26,1.61,2.09,7.06,15.99,2.250492,2.603316
2026,0.49,1.59,2.16,7.17,16.34,2.182553,2.532407
2027,0.72,1.58,2.21,7.36,16.6,2.131923,2.463207
2028,0.96,1.57,2.26,7.65,16.75,2.073866,2.388929
2029,1.19,1.59,2.31,7.85,16.8,2.028963,2.316333
2030,1.19,1.61,2.42,8.06,16.92,1.98379,2.253399
2031,1.18,1.62,2.45,8.2,17.08,1.927156,2.209651
2032,1.18,1.63,2.47,8.32,17.45,1.830832,2.166353
2033,1.18,1.63,2.46,8.42,17.8,1.788503,2.120875
2034,1.18,1.64,2.45,8.48,18.15,1.744394,2.093964
2035,1.17,1.64,2.46,8.53,18.5,1.717857,2.064345
2036,1.17,1.67,2.53,8.39,18.86,1.699556,2.034128
2037,1.17,1.68,2.65,8.34,19.17,1.662669,2.006771
2038,1.17,1.68,2.7,8.32,19.56,1.632901,1.982015
2039,1.17,1.69,2.86,8.34,19.73,1.612718,1.950681
2040,1.17,1.71,2.95,8.41,19.82,1.575611,1.913296
